"filename", "language", "Shell Script", "C++", "Python", "Markdown", "C", "Makefile", "XML", "YAML", "comment", "blank", "total"
"/home/vash/anduril-1-vash/hw/hank/emisar-d1v2/7135-fet/anduril.h", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 12, 6, 30
"/home/vash/anduril-1-vash/hw/hank/emisar-d1v2/linear-fet/anduril.h", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 10, 6, 28
"/home/vash/anduril-1-vash/hw/hank/emisar-d1v2/nofet/anduril.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 9, 5, 22
"/home/vash/anduril-1-vash/hw/hank/emisar-d3aa/anduril.h", "C++", 0, 50, 0, 0, 0, 0, 0, 0, 38, 31, 119
"/home/vash/anduril-1-vash/hw/hank/emisar-d3aa/hwdef.c", "C", 0, 0, 0, 0, 116, 0, 0, 0, 48, 39, 203
"/home/vash/anduril-1-vash/hw/hank/emisar-d3aa/hwdef.h", "C++", 0, 91, 0, 0, 0, 0, 0, 0, 98, 39, 228
"/home/vash/anduril-1-vash/hw/hank/emisar-d4/219/anduril.h", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 7, 3, 16
"/home/vash/anduril-1-vash/hw/hank/emisar-d4/anduril.h", "C++", 0, 22, 0, 0, 0, 0, 0, 0, 13, 12, 47
"/home/vash/anduril-1-vash/hw/hank/emisar-d4/hwdef.c", "C", 0, 0, 0, 0, 38, 0, 0, 0, 6, 16, 60
"/home/vash/anduril-1-vash/hw/hank/emisar-d4/hwdef.h", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 28, 25, 102
"/home/vash/anduril-1-vash/hw/hank/emisar-d4k-3ch/anduril.h", "C++", 0, 45, 0, 0, 0, 0, 0, 0, 37, 23, 105
"/home/vash/anduril-1-vash/hw/hank/emisar-d4k-3ch/hwdef.c", "C", 0, 0, 0, 0, 248, 0, 0, 0, 51, 64, 363
"/home/vash/anduril-1-vash/hw/hank/emisar-d4k-3ch/hwdef.h", "C++", 0, 108, 0, 0, 0, 0, 0, 0, 80, 30, 218
"/home/vash/anduril-1-vash/hw/hank/emisar-d4s/219/anduril.h", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 7, 3, 16
"/home/vash/anduril-1-vash/hw/hank/emisar-d4s/anduril.h", "C++", 0, 27, 0, 0, 0, 0, 0, 0, 12, 9, 48
"/home/vash/anduril-1-vash/hw/hank/emisar-d4s/hwdef.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 5, 4, 14
"/home/vash/anduril-1-vash/hw/hank/emisar-d4sv2/219/anduril.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 5, 3, 16
"/home/vash/anduril-1-vash/hw/hank/emisar-d4sv2/anduril.h", "C++", 0, 35, 0, 0, 0, 0, 0, 0, 25, 20, 80
"/home/vash/anduril-1-vash/hw/hank/emisar-d4sv2/hwdef.c", "C", 0, 0, 0, 0, 45, 0, 0, 0, 8, 15, 68
"/home/vash/anduril-1-vash/hw/hank/emisar-d4sv2/hwdef.h", "C++", 0, 81, 0, 0, 0, 0, 0, 0, 66, 30, 177
"/home/vash/anduril-1-vash/hw/hank/emisar-d4v2/219/anduril.h", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 5, 4, 15
"/home/vash/anduril-1-vash/hw/hank/emisar-d4v2/anduril.h", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 16, 15, 63
"/home/vash/anduril-1-vash/hw/hank/emisar-d4v2/hwdef.c", "C", 0, 0, 0, 0, 39, 0, 0, 0, 8, 15, 62
"/home/vash/anduril-1-vash/hw/hank/emisar-d4v2/hwdef.h", "C++", 0, 81, 0, 0, 0, 0, 0, 0, 59, 29, 169
"/home/vash/anduril-1-vash/hw/hank/emisar-d4v2/nofet/anduril.h", "C++", 0, 34, 0, 0, 0, 0, 0, 0, 13, 13, 60
"/home/vash/anduril-1-vash/hw/hank/emisar-d4v2/nofet/hwdef.c", "C", 0, 0, 0, 0, 33, 0, 0, 0, 8, 15, 56
"/home/vash/anduril-1-vash/hw/hank/noctigon-dm11/anduril.h", "C++", 0, 41, 0, 0, 0, 0, 0, 0, 25, 21, 87
"/home/vash/anduril-1-vash/hw/hank/noctigon-dm11/boost/anduril.h", "C++", 0, 44, 0, 0, 0, 0, 0, 0, 29, 19, 92
"/home/vash/anduril-1-vash/hw/hank/noctigon-dm11/boost/hwdef.c", "C", 0, 0, 0, 0, 49, 0, 0, 0, 24, 27, 100
"/home/vash/anduril-1-vash/hw/hank/noctigon-dm11/boost/hwdef.h", "C++", 0, 76, 0, 0, 0, 0, 0, 0, 70, 30, 176
"/home/vash/anduril-1-vash/hw/hank/noctigon-dm11/hwdef.h", "C++", 0, 67, 0, 0, 0, 0, 0, 0, 61, 25, 153
